GENESIS-Tabelle: 24911-0001
Straftaten: Deutschland, Jahre;;
Polizeiliche Kriminalstatistik;;
Deutschland;;
;Bekanntgewordene Straftaten;Aufgekl‰rte Straftaten
;Anzahl;Anzahl
1993;6750613;2957135
1994;6537748;2899733
1995;6668717;3068379
1996;6647598;3255042
1997;6586165;3335016
1998;6456996;3376524
1999;6302316;3329124
2000;6264723;3335356
2001;6363865;3379618
2002;6507394;3425416
2003;6572135;3486685
2004;6633156;3596963
2005;6391715;3518567
2006;6304223;3492933
2007;6284661;3456485
2008;6114128;3353473
2009;6054330;3368879
2010;5933278;3322320
2011;5990679;3276153
2012;5997040;3259822
2013;5961662;3249396
2014;6082064;3336398
2015;6330649;3564811
2016;6372526;3584167
2017;5761984;3290725
2018;5555520;3206507
2019;5436401;3124161
2020;5310621;3100401
__________
"Quelle: Bundeskriminalamt, Wiesbaden

Straftaten: ohne Vergehen im Straﬂenverkehr."
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:25:29
