GENESIS-Tabelle: 23611-0003
Gesundheitsausgaben: Deutschland, Jahre, Einrichtungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gesundheitsausgabenrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gesundheitsausgaben (Mill. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Gesundheitsschutz;1918;1916;1856;1854;1754;1753;1722;1840;1904;2102;2129;2267;2116;2082;2016;2012;1988;2169;2277;2111;2337;2456;2669;2827;3021;3226;3308;3411;3794;15162
Ambulante Einrichtungen;78749;77667;83362;87579;93223;93944;95418;98650;102727;107567;112127;116196;114098;117838;121956;128186;133840;140238;144884;146951;150553;156241;164292;173050;180165;187323;195606;204668;213424;229777
Arztpraxen;23089;24473;25977;27382;28331;28800;29607;30440;31210;32230;33355;34491;35198;35749;37138;39322;41347;43490;43705;44485;44987;46158;47768;49756;51679;53399;54879;57015;60113;62879
Zahnarztpraxen;17173;15725;17387;17739;18933;19179;17023;17151;18514;19064;19402;20051;20810;19290;19713;20213;21065;21585;22363;22971;23576;24408;24996;25782;26251;26651;27350;28344;28204;30513
Praxen sonstiger medizinischer Berufe;3851;3900;4397;4835;5229;5156;5639;5802;5917;6273;6999;7459;7284;7451;7801;8246;8677;9027;10474;11075;11433;11969;12820;13826;14724;15688;17432;19918;20085;21594
Apotheken;23191;21255;22242;23636;25132;25260;26957;28041;29037;31283;32915;33548;31533;35042;35616;37666;38966;40535;41195;39958;40523;41628;44400;46466;48352;50027;51979;54482;57531;63796
Gesundheitshandwerk / -einzelhandel;8169;8470;8972;9354;10275;10030;10342;10782;11289;11603;11934;12877;11414;11960;12875;13408;13919;14743;15388;15915;16630;17681;18769;20315;20801;20884;21332;20642;20393;21603
Ambulante Pflege;3276;3844;4388;4633;5323;5519;5849;6433;6760;7115;7522;7769;7859;8346;8814;9332;9866;10857;11759;12548;13404;14397;15539;16906;18359;20674;22634;24268;27098;29392
Stationäre / teilstationäre Einrichtungen;58534;62865;67985;71327;72388;73190;76709;78806;80989;82466;85129;86439;88349;90541;93222;95010;98145;103872;107432;110707;113730;117997;122841;127693;132594;138183;142893;152068;165012;168145
Krankenhäuser;42614;45465;49052;50949;51383;53159;54866;55289;56257;56870;58492;59041;60579;62073;63877;64661;66925;71192;74155;76452;78244;81577;85009;88241;91629;93896;96901;103417;114303;114828
Vorsorge- / Rehabilitationseinrichtungen;5748;6240;6939;7656;7790;6343;6688;7068;7525;7669;7713;7720;7449;7336;7432;7752;8035;8202;8173;8364;8685;8685;8980;9277;9451;9727;10101;10645;10227;10921
Stationäre / teilstationäre Pflege;10172;11160;11995;12722;13215;13688;15156;16449;17207;17926;18924;19677;20321;21133;21913;22597;23185;24477;25104;25891;26800;27736;28852;30176;31513;34560;35892;38005;40482;42396
Rettungsdienste;1293;1503;1703;1800;1814;1848;1950;2069;2138;2208;2356;2466;2476;2660;2697;2780;2944;3160;3214;3416;3576;3869;4017;4339;4548;4891;5346;5868;6566;7011
Verwaltung;8813;9341;9826;11185;11298;11590;12080;12562;12788;13181;13933;14544;14525;14721;14665;14781;15269;16125;16918;17058;17177;17432;17460;18311;18966;19346;20228;20223;21436;21923
Sonstige Einrichtungen und private Haushalte;3244;3524;3769;6255;7696;7667;7531;7445;7377;7357;7479;7454;7151;7202;7235;7360;7718;8025;8329;8446;8861;9625;10026;10850;11458;15706;17181;18814;20162;22242
Ausland (Importe);533;537;519;566;610;573;583;599;633;649;696;683;840;916;1008;1109;1144;1259;1491;1635;1727;1601;1471;1574;1652;1696;1808;1859;1842;1595
Investitionen;6384;6510;6576;7131;7281;6518;6158;6237;6100;6536;6615;6229;6020;6056;5743;5661;6072;6759;6531;6311;6457;6157;6273;6334;6985;6642;7253;7578;8794;8279
Insgesamt;159468;163864;175595;187697;196064;197083;202150;208207;214656;222067;230463;236277;235576;242016;248542;256898;267121;281608;291075;296634;304418;315379;329048;344978;359389;377013;393624;414489;441030;474134
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:06:44
