GENESIS-Tabelle: 21111-0004
Absolventen und Abgänger: Deutschland, Schuljahr,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht, Schulart, Schulabschlüsse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Absolventen und Abgänger (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;1997/98;1997/98;1997/98;1998/99;1998/99;1998/99;1999/00;1999/00;1999/00;2000/01;2000/01;2000/01;2001/02;2001/02;2001/02;2002/03;2002/03;2002/03;2003/04;2003/04;2003/04;2004/05;2004/05;2004/05;2005/06;2005/06;2005/06;2006/07;2006/07;2006/07;2007/08;2007/08;2007/08;2008/09;2008/09;2008/09;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Hauptschulen;Ohne Hauptschulabschluss;20162;10492;30654;19006;10196;29202;19683;10321;30004;20265;11191;31456;18454;10420;28874;17489;9925;27414;16918;9148;26066;15692;8543;24235;14031;7862;21893;12358;7122;19480;10685;6491;17176;8826;5749;14575;8261;5113;13374;6988;4545;11533;6638;4393;11031;5930;3845;9775;5672;3753;9425;5352;3259;8611;6316;3490;9806;6454;3611;10065;5895;3333;9228;5289;2991;8283;3702;2358;6060;4086;2490;6576
Hauptschulen;Hauptschulabschluss;96724;74091;170815;95258;72025;167283;91863;69995;161858;92723;70689;163412;92696;70487;163183;94815;72230;167045;95937;72646;168583;93045;70645;163690;90936;68660;159596;88763;67400;156163;81287;61624;142911;73269;55147;128416;66891;49465;116356;59383;43990;103373;53177;38656;91833;49065;35626;84691;44987;31931;76918;43084;29794;72878;40936;28645;69581;35483;24498;59981;32262;21369;53634;28101;19023;47121;24462;16569;41028;22784;15130;37914
Hauptschulen;Mittlerer Schulabschluss;18557;18373;36930;17858;18180;36038;17706;17289;34995;18368;17681;36049;18887;18137;37024;21170;20138;41308;23533;22444;45977;24898;23145;48043;25047;23152;48199;24950;22376;47326;24221;22010;46231;23416;21545;44961;22318;19835;42153;21902;19333;41235;20875;18385;39260;24638;21427;46065;23818;20146;43964;23638;19722;43360;22328;18696;41024;20133;16571;36704;17085;14532;31617;14931;13140;28071;13434;11865;25299;12700;11340;24045
Hauptschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hauptschulen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hauptschulen;Insgesamt;135443;102956;238399;132122;100401;232523;129252;97605;226857;131356;99561;230917;130037;99044;229081;133474;102293;235767;136388;104238;240626;133635;102333;235968;130014;99674;229688;126071;96898;222969;116193;90125;206318;105511;82441;187952;97470;74413;171883;88273;67868;156141;80690;61434;142124;79633;60898;140531;74477;55830;130307;72074;52775;124849;69580;50831;120411;62070;44680;106750;55242;39234;94479;48321;35154;83475;41598;30792;72390;39570;28960;68530
Schularten mit mehreren Bildungsgängen;Ohne Hauptschulabschluss;4183;1786;5969;4646;2418;7064;5172;2540;7712;5656;2746;8402;5347;2477;7824;4967;2288;7255;4667;2131;6798;3937;1841;5778;3677;1823;5500;3198;1610;4808;2947;1601;4548;2290;1267;3557;1984;1267;3251;2092;1309;3401;2176;1274;3450;2289;1370;3659;2536;1504;4040;2664;1636;4300;3272;1811;5083;3985;2224;6209;4521;2478;6996;4848;2613;7461;3414;2019;5430;3960;2440;6400
