GENESIS-Tabelle: 21211-0001
Auszubildende: Deutschland, Stichtag, Nationalität, Geschlecht, Ausbildungsbereich;;;;;;;;;;;;;;;;
Berufsbildungsstatistik;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;
Auszubildende (Anzahl);;;;;;;;;;;;;;;;
;;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021
Industrie und Handel;Deutsche;männlich;539514;522264;503442;494403;491394;484692;475308;467766;459489;457551;459087;459153;443991;431613
Industrie und Handel;Deutsche;weiblich;356724;347508;330252;315936;308472;298593;286971;277320;267447;256911;249633;241401;227931;214575
Industrie und Handel;Deutsche;Insgesamt;896235;869775;833694;810339;799866;783285;762282;745083;726933;714462;708720;700554;671922;646188
Industrie und Handel;Ausländer;männlich;23010;23889;24219;24855;25398;25968;26886;28446;31638;38100;45645;49398;46320;42525
Industrie und Handel;Ausländer;weiblich;14973;15408;15489;15495;15798;15903;16233;16728;17526;17952;18525;19383;18783;18423
Industrie und Handel;Ausländer;Insgesamt;37983;39297;39708;40347;41196;41871;43119;45174;49164;56052;64173;68781;65103;60948
Industrie und Handel;Insgesamt;männlich;562524;546153;527661;519258;516792;510660;502194;496212;491127;495651;504732;508551;490311;474138
Industrie und Handel;Insgesamt;weiblich;371697;362919;345741;331431;324270;314496;303204;294045;284970;274863;268158;260784;246714;232998
Industrie und Handel;Insgesamt;Insgesamt;934221;909072;873402;850689;841062;825156;805398;790257;776097;770514;772890;769335;737022;707136
Handwerk;Deutsche;männlich;342264;328650;313239;299946;291111;278724;269943;262956;258840;257109;255408;254184;252507;253680
Handwerk;Deutsche;weiblich;104349;101838;95844;88809;83898;76980;73080;70686;69207;67230;63621;60261;56181;53583
Handwerk;Deutsche;Insgesamt;446613;430485;409083;388755;375009;355704;343023;333642;328047;324339;319029;314442;308688;307263
Handwerk;Ausländer;männlich;17070;17400;18123;18081;18063;18930;19905;21564;24966;32982;41367;46278;46200;43269
Handwerk;Ausländer;weiblich;7359;7683;7701;7371;7059;6750;6576;6453;6750;6780;6735;6741;6405;6093
Handwerk;Ausländer;Insgesamt;24426;25083;25824;25452;25122;25683;26478;28014;31716;39762;48105;53016;52605;49362
Handwerk;Insgesamt;männlich;359331;346050;331362;318027;309174;297657;289848;284517;283809;290091;296778;300459;298707;296949
Handwerk;Insgesamt;weiblich;111708;109518;103545;96183;90957;83730;79653;77139;75954;74013;70356;66999;62583;59676
Handwerk;Insgesamt;Insgesamt;471039;455568;434907;414207;400131;381387;369501;361656;359763;364101;367134;367461;361290;356625
Landwirtschaft;Deutsche;männlich;32241;31344;29679;28251;26922;25968;25770;25731;25098;24771;24231;23922;23961;24360
Landwirtschaft;Deutsche;weiblich;9675;9348;8712;8088;7536;7308;7281;7308;7242;7305;7242;7326;7488;7917
Landwirtschaft;Deutsche;Insgesamt;41916;40689;38391;36339;34461;33279;33048;33039;32343;32073;31473;31248;31449;32277
Landwirtschaft;Ausländer;männlich;237;270;213;231;240;249;300;366;459;708;873;939;873;771
Landwirtschaft;Ausländer;weiblich;51;69;63;57;63;57;90;105;105;117;147;144;147;162
Landwirtschaft;Ausländer;Insgesamt;288;339;276;285;306;306;390;471;564;825;1020;1083;1020;930
Landwirtschaft;Insgesamt;männlich;32478;31614;29892;28482;27165;26220;26070;26097;25557;25479;25107;24861;24834;25131
Landwirtschaft;Insgesamt;weiblich;9726;9414;8772;8142;7602;7365;7371;7413;7347;7419;7389;7470;7632;8079
Landwirtschaft;Insgesamt;Insgesamt;42204;41028;38667;36624;34764;33585;33441;33510;32904;32898;32493;32331;32469;33207
Öffentlicher Dienst;Deutsche;männlich;13395;13140;12873;13050;12309;12024;11838;12375;12624;13542;14091;14562;14976;14982
Öffentlicher Dienst;Deutsche;weiblich;24081;24156;24093;24303;22980;22221;22200;22971;22941;23964;24684;25224;25599;25143
Öffentlicher Dienst;Deutsche;Insgesamt;37476;37296;36966;37353;35289;34245;34038;35346;35565;37506;38775;39786;40575;40125
Öffentlicher Dienst;Ausländer;männlich;186;240;189;198;192;195;192;210;288;456;579;603;591;504
Öffentlicher Dienst;Ausländer;weiblich;381;444;432;447;486;492;483;534;576;696;738;804;795;798
Öffentlicher Dienst;Ausländer;Insgesamt;567;684;621;645;678;687;678;741;864;1149;1320;1407;1386;1302
Öffentlicher Dienst;Insgesamt;männlich;13581;13380;13062;13248;12501;12219;12030;12582;12912;13995;14670;15165;15567;15486
Öffentlicher Dienst;Insgesamt;weiblich;24462;24600;24528;24750;23466;22713;22683;23505;23517;24660;25425;26028;26397;25941
Öffentlicher Dienst;Insgesamt;Insgesamt;38043;37980;37587;37998;35967;34932;34713;36087;36432;38655;40095;41193;41961;41424
Freie Berufe;Deutsche;männlich;5610;5760;5778;6000;6264;6576;6819;7119;7425;7734;8016;8235;8223;8466
Freie Berufe;Deutsche;weiblich;101625;101325;97602;95394;92643;92112;89574;89571;89025;89412;88461;87423;82731;82092
Freie Berufe;Deutsche;Insgesamt;107232;107082;103380;101394;98907;98688;96393;96690;96450;97146;96477;95658;90957;90558
Freie Berufe;Ausländer;männlich;228;237;258;267;288;300;345;384;489;684;954;1224;1425;1518
Freie Berufe;Ausländer;weiblich;9204;9696;10044;10200;10662;10458;12084;12225;13317;14307;15375;16578;18924;20349
Freie Berufe;Ausländer;Insgesamt;9432;9933;10302;10467;10947;10758;12429;12609;13806;14994;16329;17802;20349;21867
Freie Berufe;Insgesamt;männlich;5838;5997;6036;6267;6549;6876;7161;7503;7914;8418;8970;9459;9648;9984
Freie Berufe;Insgesamt;weiblich;110829;111021;107646;105594;103305;102570;101658;101796;102342;103722;103836;104001;101655;102441
Freie Berufe;Insgesamt;Insgesamt;116664;117015;113682;111861;109854;109443;108822;109299;110256;112140;112806;113460;111303;112425
Hauswirtschaft;Deutsche;männlich;846;768;717;672;642;561;525;516;516;525;528;600;618;639
Hauswirtschaft;Deutsche;weiblich;9927;9579;8901;8115;7077;6375;5775;5301;4845;4602;4368;4161;3924;3690
Hauswirtschaft;Deutsche;Insgesamt;10770;10347;9618;8787;7719;6933;6300;5817;5361;5130;4893;4761;4542;4329
