GENESIS-Tabelle: 21311-0003
Studierende: Deutschland, Semester, Nationalität,;;;;;;;;;;;
Geschlecht, Studienfach;;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Studierende (Anzahl);;;;;;;;;;;
;;;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Insgesamt;Insgesamt;Insgesamt
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
WS 1998/99;SF141;Abfallwirtschaft;76;36;112;2;-;2;78;36;114
WS 1998/99;SF002;Afrikanistik;271;628;899;54;47;101;325;675;1000
WS 1998/99;SF138;Agrarbiologie;72;154;226;9;-;9;81;154;235
WS 1998/99;SF125;Agrarökonomie;216;109;325;37;29;66;253;138;391
WS 1998/99;SF003;Agrarwissenschaft/Landwirtschaft;4734;3307;8041;810;327;1137;5544;3634;9178
WS 1998/99;SF001;Ägyptologie;427;666;1093;40;34;74;467;700;1167
WS 1998/99;SF152;Allg. Sprachwissenschaft/Indogermanistik;1322;3178;4500;369;959;1328;1691;4137;5828
WS 1998/99;SF188;Allgemeine Literaturwissenschaft;1146;2582;3728;137;426;563;1283;3008;4291
WS 1998/99;SF272;Alte Geschichte;357;286;643;20;27;47;377;313;690
WS 1998/99;SF006;Amerikanistik/Amerikakunde;1066;2135;3201;105;182;287;1171;2317;3488
WS 1998/99;SF007;Angewandte Kunst;311;560;871;21;65;86;332;625;957
WS 1998/99;SF284;Angewandte Sprachwissenschaft;238;790;1028;27;89;116;265;879;1144
WS 1998/99;SF140;Angewandte Systemwissenschaften;220;10;230;29;6;35;249;16;265
WS 1998/99;SF008;Anglistik/Englisch;10378;24325;34703;913;2231;3144;11291;26556;37847
WS 1998/99;SF009;Anthropologie (Humanbiologie);133;243;376;11;19;30;144;262;406
WS 1998/99;SF010;Arabisch/Arabistik;127;235;362;76;48;124;203;283;486
WS 1998/99;SF011;Arbeitslehre/Wirtschaftslehre;692;910;1602;14;14;28;706;924;1630
WS 1998/99;SF257;Arbeits- und Berufsberatung;22;44;66;-;-;-;22;44;66
WS 1998/99;SF258;Arbeitsverwaltung;499;796;1295;2;2;4;501;798;1299
WS 1998/99;SF012;Archäologie;1073;1481;2554;99;160;259;1172;1641;2813
WS 1998/99;SF390;Archäometrie (Ingenieurarchäologie);-;-;-;-;-;-;-;-;-
WS 1998/99;SF013;Architektur;25261;20379;45640;2268;1500;3768;27529;21879;49408
WS 1998/99;SF037;Archiv- und Dokumentationswissenschaft;274;365;639;7;24;31;281;389;670
WS 1998/99;SF255;Archivwesen;72;151;223;1;2;3;73;153;226
WS 1998/99;SF187;Asiatische Sprachen u.Kulturen/Asienwissenschaften;258;357;615;22;39;61;280;396;676
WS 1998/99;SF014;Astrophysik und Astronomie;168;38;206;13;2;15;181;40;221
WS 1998/99;SF143;Augenoptik;148;223;371;6;4;10;154;227;381
WS 1998/99;SF117;Ausländerpädagogik;84;415;499;26;21;47;110;436;546
WS 1998/99;SF015;Außereurop. Sprachen und Kult. in Ozeanien und Am.;252;299;551;23;21;44;275;320;595
WS 1998/99;SF259;Auswärtige Angelegenheiten;15;30;45;-;-;-;15;30;45
WS 1998/99;SF016;Baltistik;8;13;21;1;2;3;9;15;24
WS 1998/99;SF265;Bankwesen;218;150;368;1;7;8;219;157;376
WS 1998/99;SF017;Bauingenieurwesen/Ingenieurbau;40042;9751;49793;5130;1090;6220;45172;10841;56013
WS 1998/99;SF020;Bergbau/Bergtechnik;937;163;1100;167;17;184;1104;180;1284
WS 1998/99;SF018;Berufsbezogene Fremdsprachenausbildung;286;900;1186;51;128;179;337;1028;1365
WS 1998/99;SF270;Berufs- und Wirtschaftspädagogik;535;491;1026;24;42;66;559;533;1092
WS 1998/99;SF021;Betriebswirtschaftslehre;76679;46565;123244;7534;6351;13885;84213;52916;137129
WS 1998/99;SF262;Bibliothekswesen;26;94;120;-;-;-;26;94;120
WS 1998/99;SF023;Bildende Kunst/Grafik;945;1278;2223;259;304;563;1204;1582;2786
WS 1998/99;SF205;Bildhauerei/Plastik;143;182;325;26;36;62;169;218;387
WS 1998/99;SF025;Biochemie;1511;1156;2667;110;107;217;1621;1263;2884
WS 1998/99;SF221;Bioinformatik;-;-;-;-;-;-;-;-;-
WS 1998/99;SF026;Biologie;16530;22259;38789;1198;1361;2559;17728;23620;41348
WS 1998/99;SF300;Biomedizin;-;-;-;-;-;-;-;-;-
WS 1998/99;SF282;Biotechnologie;1490;1575;3065;112;98;210;1602;1673;3275
WS 1998/99;SF027;Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190);41;181;222;22;20;42;63;201;264
WS 1998/99;SF028;Brauwesen/Getränketechnologie;585;25;610;58;6;64;643;31;674
WS 1998/99;SF260;Bundeswehrverwaltung;507;426;933;-;-;-;507;426;933
WS 1998/99;SF031;Byzantinistik;145;170;315;29;60;89;174;230;404
WS 1998/99;SF162;Caritaswissenschaft;37;37;74;11;8;19;48;45;93
WS 1998/99;SF032;Chemie;15977;7156;23133;1584;1113;2697;17561;8269;25830
WS 1998/99;SF033;Chemie-Ingenieurwesen/Chemieverfahrenstechnik;3616;1381;4997;507;198;705;4123;1579;5702
WS 1998/99;SF160;Computerlinguistik;309;167;476;58;60;118;367;227;594
WS 1998/99;SF200;Computer- und Kommunikationstechniken;354;59;413;46;9;55;400;68;468
WS 1998/99;SF034;Dänisch;10;21;31;-;3;3;10;24;34
WS 1998/99;SF035;Darstellende Kunst/Bühnenkunst/Regie;305;743;1048;77;154;231;382;897;1279
WS 1998/99;SF271;Deutsch als Fremdsprache oder als Zweitsprache;211;968;1179;263;564;827;474;1532;2006
WS 1998/99;SF161;Diakoniewissenschaft;14;13;27;3;5;8;17;18;35
WS 1998/99;SF192;Dirigieren;129;38;167;48;16;64;177;54;231
WS 1998/99;SF231;Druck- und Reproduktionstechnik;1644;545;2189;117;24;141;1761;569;2330
WS 1998/99;SF159;Edelstein- und Schmuckdesign;11;49;60;4;2;6;15;51;66
WS 1998/99;SF316;Elektronische Energietechnik;2178;49;2227;395;12;407;2573;61;2634
WS 1998/99;SF048;Elektrotechnik/Elektronik;43773;1814;45587;7649;615;8264;51422;2429;53851
WS 1998/99;SF211;Energieverfahrenstechnik;1309;204;1513;156;31;187;1465;235;1700
WS 1998/99;SF320;Ernährungswissenschaft;113;573;686;2;13;15;115;586;701
WS 1998/99;SF321;Erwachsenenbildung und außerschulische Jugendbild.;609;1366;1975;21;55;76;630;1421;2051
WS 1998/99;SF051;Erziehungsschwierigenpädagogik (ab 2016 zu SF190);237;428;665;1;12;13;238;440;678
WS 1998/99;SF052;Erziehungswissenschaft (Pädagogik);15425;37480;52905;923;2771;3694;16348;40251;56599
WS 1998/99;SF169;Ethik;145;800;945;-;1;1;145;801;946
WS 1998/99;SF173;Ethnologie;1083;2216;3299;81;179;260;1164;2395;3559
WS 1998/99;SF024;Europäische Ethnologie und Kulturwissenschaft;272;690;962;20;50;70;292;740;1032
WS 1998/99;SF167;Europäische Wirtschaft;495;778;1273;117;140;257;612;918;1530
WS 1998/99;SF544;Ev. Religionspädagogik, kirchliche Bildungsarbeit;327;840;1167;4;5;9;331;845;1176
WS 1998/99;SF053;Evangelische Theologie, - Religionslehre;3982;5097;9079;378;171;549;4360;5268;9628
WS 1998/99;SF464;Facility Management;-;-;-;-;-;-;-;-;-
WS 1998/99;SF235;Fahrzeugtechnik;4041;105;4146;419;16;435;4460;121;4581
WS 1998/99;SF212;Feinwerktechnik;2588;246;2834;298;46;344;2886;292;3178
WS 1998/99;SF202;Fertigungs-/Produktionstechnik;3905;200;4105;512;46;558;4417;246;4663
WS 1998/99;SF054;Film und Fernsehen;924;641;1565;83;76;159;1007;717;1724
WS 1998/99;SF266;Finanzverwaltung;875;1097;1972;1;1;2;876;1098;1974
WS 1998/99;SF056;Finno-Ugristik;111;146;257;4;25;29;115;171;286
WS 1998/99;SF058;Forstwissenschaft, -wirtschaft;2721;882;3603;181;65;246;2902;947;3849
WS 1998/99;SF059;Französisch;1260;5752;7012;124;534;658;1384;6286;7670
WS 1998/99;SF019-07;Friesisch (2007 aufgelöst);6;5;11;-;-;-;6;5;11
WS 1998/99;SF060;Gartenbau;1214;1766;2980;91;49;140;1305;1815;3120
