GENESIS-Tabelle: 62421-0001
Arbeitskostenindizes: Deutschland, Quartale,;;;;;;;;;;;;;;;;;;;;;;;;;;
Wirtschaftsbereiche, Original- und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitskostenindex;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
Index der Arbeitskosten je geleistete Stunde (2016=100);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche)
;;;WZ08-B-08 Produzierendes Gewerbe und Dienstleistungsbereich;WZ08-B-09 Produzierendes Gewerbe und wirtschaftl. Dienstl.;WZ08-B-05 Produzierendes Gewerbe;WZ08-B Bergbau und Gewinnung von Steinen und Erden;WZ08-C Verarbeitendes Gewerbe;WZ08-D Energieversorgung;WZ08-E Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;WZ08-F Baugewerbe;WZ08-G-02 Dienstleistungsbereich;WZ08-G-03 Wirtschaftliche Dienstleistungen;WZ08-G Handel, Instandhaltung und Reparatur von Kfz;WZ08-H Verkehr und Lagerei;WZ08-I Gastgewerbe;WZ08-J Information und Kommunikation;WZ08-K Erbringung von Finanz- und Versicherungsleistungen;WZ08-L Grundstücks- und Wohnungswesen;WZ08-M Freiberufliche, wiss. u. techn. Dienstleistungen;WZ08-N Sonstige wirtschaftliche Dienstleistungen;WZ08-O-01 Öffentliche und persönliche Dienstleistungen;WZ08-O Öff. Verwaltung, Verteidigung, Sozialversicherung;WZ08-P Erziehung und Unterricht;WZ08-Q Gesundheits- und Sozialwesen;WZ08-R Kunst, Unterhaltung und Erholung;WZ08-S Erbringung von sonstigen Dienstleistungen
Originalwerte;1996;1. Quartal;61,564;60,904;59,448;/;57,520;51,404;59,673;69,329;62,791;62,532;62,498;72,575;65,242;55,577;57,279;69,147;60,802;63,758;63,193;55,896;72,217;64,223;69,287;59,342
Originalwerte;1996;2. Quartal;70,976;71,258;70,215;/;69,499;61,353;65,803;75,980;71,306;72,379;74,094;84,233;74,973;64,190;64,263;79,054;68,459;72,398;70,127;60,417;78,568;73,271;82,659;67,588
Originalwerte;1996;3. Quartal;63,944;62,994;62,415;/;60,957;51,719;61,806;71,171;64,785;63,578;64,970;74,566;69,476;55,715;52,786;71,093;61,929;66,407;66,325;58,466;75,123;67,704;75,804;62,370
Originalwerte;1996;4. Quartal;75,275;73,106;73,018;/;71,916;66,195;75,303;78,976;76,561;73,093;74,536;88,646;76,275;62,819;62,236;78,598;70,331;72,491;80,825;72,192;91,304;82,169;88,965;75,325
Originalwerte;1997;1. Quartal;64,097;63,729;62,731;/;61,128;54,523;63,193;71,259;64,833;64,810;64,996;74,494;67,394;60,309;58,979;68,462;63,316;66,372;64,955;56,558;75,288;65,977;71,507;62,167
Originalwerte;1997;2. Quartal;71,914;71,859;70,241;/;69,715;61,886;69,534;74,691;72,831;73,661;75,094;85,421;75,140;68,669;65,730;76,054;70,345;74,303;71,944;61,776;81,738;74,502;84,080;69,853
Originalwerte;1997;3. Quartal;64,814;63,759;62,986;/;61,587;52,947;64,698;71,179;65,847;64,573;66,092;75,918;70,285;59,002;52,762;68,554;63,333;67,582;67,468;59,623;77,499;67,870;76,491;63,567
Originalwerte;1997;4. Quartal;75,684;73,074;72,745;/;71,954;68,172;78,738;76,311;77,408;73,346;74,862;87,515;76,593;65,513;62,742;76,975;71,293;72,540;82,385;73,742;93,670;83,362;89,522;76,378
Originalwerte;1998;1. Quartal;63,722;63,059;61,403;/;60,072;54,730;65,972;68,261;65,068;64,905;64,711;74,565;66,568;62,156;59,948;68,490;63,363;65,623;65,357;57,431;76,220;65,326;72,406;62,365
Originalwerte;1998;2. Quartal;74,036;74,102;73,242;/;72,717;66,151;73,948;77,529;74,395;75,006;76,397;87,334;75,709;71,038;67,498;78,164;71,114;73,944;73,772;63,497;84,355;75,516;87,377;71,749
Originalwerte;1998;3. Quartal;66,300;64,923;64,183;/;62,939;55,113;68,729;71,435;67,512;65,698;67,030;77,382;69,903;61,715;54,038;70,761;64,443;67,861;69,782;61,849;80,393;69,948;78,480;65,554
Originalwerte;1998;4. Quartal;76,222;73,489;72,958;/;72,618;68,900;81,863;74,249;78,143;74,011;75,462;87,961;76,160;68,121;63,626;78,859;71,994;72,197;83,206;74,224;94,634;84,172;91,164;77,959
Originalwerte;1999;1. Quartal;64,992;64,317;63,013;/;61,901;55,528;67,861;69,231;66,120;65,736;65,924;75,811;67,221;64,693;59,633;66,415;64,480;65,553;66,655;58,935;77,729;66,328;72,653;63,744
Originalwerte;1999;2. Quartal;75,702;75,639;74,752;/;74,674;66,772;75,841;77,269;76,172;76,577;77,751;89,213;76,737;74,251;69,926;77,845;72,738;74,097;75,753;65,322;86,352;77,484;88,819;74,340
Originalwerte;1999;3. Quartal;67,943;66,397;65,498;/;64,608;57,324;70,170;71,276;69,356;67,356;69,214;79,084;71,039;65,542;55,069;71,711;65,099;68,380;71,868;63,878;83,303;71,611;80,036;67,331
Originalwerte;1999;4. Quartal;77,430;74,453;73,382;/;73,286;69,383;82,467;73,944;79,825;75,599;77,207;89,827;77,395;71,349;64,802;79,187;73,675;72,835;85,067;76,035;96,188;86,584;91,391;79,911
Originalwerte;2000;1. Quartal;66,463;65,780;64,704;/;63,642;61,575;68,497;70,056;67,461;66,936;67,160;73,649;68,000;68,218;62,525;69,022;65,465;67,262;68,144;60,420;79,340;67,720;73,745;65,473
Originalwerte;2000;2. Quartal;77,847;78,414;78,561;/;78,660;74,122;77,933;79,902;77,349;78,245;79,893;87,331;78,275;79,085;72,783;79,189;74,078;76,202;76,260;66,261;87,183;77,585;86,987;74,541
Originalwerte;2000;3. Quartal;70,410;68,955;68,969;/;68,083;64,715;73,876;73,783;71,213;68,932;70,799;77,992;72,060;69,101;57,954;71,804;67,324;70,331;74,093;66,350;84,747;73,877;84,128;69,339
Originalwerte;2000;4. Quartal;81,004;78,377;78,563;/;78,605;78,795;86,725;77,612;82,399;78,167;79,978;89,954;79,624;76,142;68,715;79,848;76,449;75,508;87,721;79,584;98,921;88,105;94,599;82,183
Originalwerte;2001;1. Quartal;68,808;68,205;67,566;/;66,622;65,465;71,259;72,254;69,491;68,862;70,288;74,590;69,725;69,570;65,033;69,813;65,929;67,755;70,268;62,579;81,674;69,796;76,673;66,513
Originalwerte;2001;2. Quartal;80,012;80,653;81,134;/;80,970;81,432;80,853;82,152;79,323;80,162;83,283;88,154;79,914;80,216;75,310;79,980;74,413;76,462;78,195;67,519;89,566;79,779;90,887;75,599
Originalwerte;2001;3. Quartal;71,787;70,778;70,827;/;70,000;67,689;74,972;75,258;72,306;70,728;74,185;79,012;73,866;69,685;60,680;72,460;67,027;69,253;74,310;66,014;85,642;74,348;84,421;69,106
Originalwerte;2001;4. Quartal;82,747;80,177;80,434;/;80,454;82,159;88,393;79,024;84,043;79,915;82,933;91,147;81,210;77,056;71,024;81,454;76,913;75,018;89,343;80,986;100,752;89,861;97,477;83,131
Originalwerte;2002;1. Quartal;71,413;70,913;70,321;/;69,465;67,458;72,280;75,445;72,003;71,495;73,353;77,629;73,013;72,244;68,073;70,584;67,185;69,456;72,601;65,674;83,418;71,827;79,894;67,856
Originalwerte;2002;2. Quartal;81,284;81,712;81,833;/;81,969;76,818;80,886;83,028;80,952;81,593;84,472;90,865;81,758;82,613;76,239;80,923;75,138;77,879;80,026;70,564;90,370;81,208;93,040;76,254
Originalwerte;2002;3. Quartal;73,367;72,502;72,311;/;71,692;66,237;74,848;77,067;73,936;72,690;76,456;81,013;75,850;72,096;63,479;74,118;67,347;70,727;75,509;68,441;85,663;75,165;86,250;69,441
Originalwerte;2002;4. Quartal;84,379;81,988;81,902;/;82,103;81,074;88,863;80,651;85,741;82,072;85,432;93,561;83,532;79,561;73,797;82,889;77,717;76,496;90,502;83,869;100,563;90,044;99,701;83,839
Originalwerte;2003;1. Quartal;73,094;72,968;71,812;/;70,805;71,839;74,927;77,265;73,783;74,076;76,765;79,625;74,853;73,993;71,178;75,943;68,461;70,702;73,346;66,167;82,934;73,062;82,435;70,089
Originalwerte;2003;2. Quartal;84,143;85,257;85,227;/;85,180;84,728;83,031;86,669;83,555;85,291;89,428;94,355;84,738;85,543;80,443;85,188;77,055;79,575;81,230;71,594;90,421;82,786;95,047;79,277
Originalwerte;2003;3. Quartal;75,282;74,241;73,990;/;73,369;71,082;77,047;78,373;75,976;74,486;78,672;83,055;77,210;73,220;65,862;77,941;68,313;70,710;77,863;71,975;88,633;75,984;87,209;71,733
Originalwerte;2003;4. Quartal;85,288;83,212;82,864;/;82,848;86,475;91,211;81,348;86,594;83,551;87,208;95,130;83,935;80,124;75,845;87,298;79,178;75,938;90,496;84,583;98,412;90,462;98,956;86,025
Originalwerte;2004;1. Quartal;73,883;73,941;72,666;/;71,776;73,989;74,625;77,586;74,533;75,150;77,938;81,049;75,747;75,294;72,860;71,792;70,301;70,198;73,699;67,306;82,601;72,905;84,155;70,252
Originalwerte;2004;2. Quartal;84,889;85,884;85,997;/;86,157;88,782;84,479;85,389;84,313;85,792;89,343;93,192;82,702;86,997;82,562;84,809;79,516;80,077;82,369;74,842;91,195;83,017;92,441;78,479
Originalwerte;2004;3. Quartal;75,503;74,599;74,143;/;73,484;70,734;77,682;78,982;76,229;75,039;79,652;83,096;77,054;74,384;66,406;76,408;68,776;71,132;77,711;72,555;85,831;77,012;87,254;71,697
