GENESIS-Tabelle: 51000-0001
Aus- und Einfuhr (Auﬂenhandel): Deutschland, Jahre;;;;;;
Auﬂenhandel;;;;;;
Deutschland;;;;;;
;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar)
;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $
1990;-;348116736;421116794;-;293215294;355612160
1991;211254367,0;340425021;402638752;433139190,0;329228193;389024326
1992;215638342,0;343180463;430387531;455737221,0;325972181;408454482
1993;201574098,0;321288985;380123869;423083213,0;289644388;342737248
1994;223180742,0;353084219;427135563;463149501,0;315444274;381635757
1995;224701706,0;383232153;523761323;463591643,0;339617500;464252634
1996;238252058,0;403376908;524140265;474990819,0;352995286;458751644
1997;249320253,0;454341981;512366844;482417666,0;394793520;445491707
1998;260946567,0;488370582;543597061;504724421,0;423451704;471315103
1999;265449152,0;510007657;542863518;488956759,0;444796643;473543121
2000;289250719,0;597439740;550217499;520990058,0;538311412;495450310
2001;291687009,0;638268360;571462091;506636352,0;542773664;486059686
2002;303714310,0;651319674;616056589;512838842,0;518531788;490520055
2003;318465490,0;664454622;751841349;541785188,0;534534079;604754688
2004;349497514,0;731543783;909474375;560399269,0;575448045;715875771
2005;357022465,0;786265926;977204459;561811217,0;628086808;779916639
2006;379631579,0;893041940;1122059031;599499530,0;733993891;922342442
2007;396152494,0;965235559;1323740742;605520635,0;769887464;1055937797
2008;388026157,5;984139797;1450571584;604443604,3;805842470;1185927221
2009;338476193,7;803311845;1121033885;536646881,6;664614892;926457771
2010;365296163,1;951959469;1261480328;589871521,2;797096855;1056094922
2011;378448876,0;1061225291;1477278335;613004471,2;902522833;1256443015
2012;367777681,2;1092627362;1404354866;584799130,0;899404978;1156253812
2013;370084173,6;1088025202;1444857596;604205644,4;890392835;1182425689
2014;380740379,9;1123745925;1492539432;620647615,4;910144767;1209306482
2015;398125229,7;1193555087;1323691298;641560235,6;949244874;1052925480
2016;399413470,7;1203833146;1332514569;648910613,7;954917389;1056608159
2017;411451219,9;1278876401;1444703713;642869227,1;1030977365;1164405464
2018;415309587,6;1317440164;1556626368;643831245,7;1088720408;1285876630
2019;428817582,5;1328151566;1486881711;657484369,5;1104141069;1236204907
2020;406752077,6;1206928464;1379898577;610322721,3;1026501801;1172927555
2021;421034089,7;1379346057;1631075848;631609306,0;1204049732;1422831284
2022;372748100,2;1576450428;1658301864;570593699,9;1494135493;1570997662
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:11:40
