GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-A;Land- und Forstwirtschaft, Fischerei;6,302;5,517;5,421;5,560;5,634;5,454;5,312;5,316;5,453;5,489;5,096;4,983;4,918;4,898;4,678;4,630;4,821;4,929;5,026;5,062;5,499;5,679;5,951;6,224;6,442;6,643;6,678;6,765;6,887;6,941;7,035;7,316
WZ08-01;Landwirtschaft, Jagd und verbundene Tätigkeiten;4,585;3,710;3,647;3,808;3,884;3,775;3,839;3,870;3,995;4,046;3,923;3,913;3,880;3,876;3,793;3,807;3,978;4,154;4,312;4,388;4,625;4,817;5,060;5,289;5,470;5,632;5,698;5,802;5,915;5,899;...;...
WZ08-021;Forstwirtschaft;1,645;1,739;1,706;1,683;1,689;1,623;1,421;1,395;1,401;1,390;1,120;1,017;0,986;0,970;0,834;0,772;0,790;0,721;0,658;0,616;0,815;0,802;0,831;0,874;0,909;0,943;0,910;0,891;0,902;0,972;...;...
WZ08-031;Fischerei;0,072;0,068;0,068;0,069;0,061;0,056;0,052;0,051;0,057;0,053;0,053;0,053;0,052;0,052;0,051;0,051;0,053;0,054;0,056;0,058;0,059;0,060;0,060;0,061;0,063;0,068;0,070;0,072;0,070;0,070;...;...
WZ08-B-05;Produzierendes Gewerbe;291,793;310,742;308,458;310,617;316,826;314,139;309,412;312,612;316,037;323,282;324,908;320,762;317,398;317,387;313,828;317,237;329,930;343,037;330,024;339,331;360,440;375,870;386,990;400,532;412,593;422,927;436,302;455,862;468,761;451,473;464,748;485,548
WZ08-B-18;Produzierendes Gewerbe ohne Baugewerbe;237,917;249,359;242,475;239,453;244,423;244,534;242,854;248,618;252,192;260,582;266,142;265,029;264,115;266,143;265,523;269,076;279,858;292,479;277,387;285,614;304,198;317,524;328,454;339,894;350,064;358,178;368,833;384,627;393,841;373,577;383,282;399,326
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;6,733;6,723;6,357;5,675;5,656;5,357;4,838;4,523;4,242;4,187;3,481;3,373;3,348;3,236;3,144;2,895;2,800;2,807;2,867;2,892;2,839;2,801;2,897;2,820;2,785;2,612;2,505;2,296;2,171;2,082;2,032;...
WZ08-C;Verarbeitendes Gewerbe;216,185;226,137;218,673;215,904;220,758;220,940;219,977;226,017;230,163;239,173;245,358;244,088;243,410;244,866;244,154;247,699;258,388;270,187;254,293;261,938;279,716;292,274;302,050;313,076;323,144;330,720;340,611;355,272;363,367;342,346;351,228;365,878
WZ08-10-01;Ernährungsgewerbe und Tabakverarbeitung;17,013;18,288;18,713;18,726;18,867;19,042;19,184;19,860;20,757;21,360;21,876;22,319;22,955;22,741;22,538;21,468;21,914;23,104;23,321;23,760;24,305;24,864;25,388;26,084;26,987;27,776;28,379;29,075;29,756;29,528;...;...
WZ08-13-01;Textil- und Bekleidungsgewerbe;8,642;7,950;7,406;6,995;6,763;6,372;6,084;6,024;5,727;5,801;5,577;5,219;4,934;4,754;4,558;4,503;4,487;4,485;4,096;4,139;4,396;4,410;4,403;4,465;4,513;4,519;4,501;4,593;4,532;4,147;...;...
WZ08-16-01;H.v. Holzwaren, Papier und Druckerzeugnissen;14,578;15,559;15,721;16,079;16,812;16,585;16,676;16,745;15,231;15,633;15,248;14,815;14,335;14,133;13,710;13,504;13,763;13,985;13,160;13,139;13,356;13,398;13,494;13,714;13,613;13,665;13,734;13,895;14,042;13,518;...;...
