GENESIS-Tabelle: 81000-0011
VGR des Bundes - Bevölkerung, Erwerbstätigkeit:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
   Bevölkerung;1000;79973;80500;80946;81147;81308;81466;81510;81446;81422;81457;81517;81578;81549;81456;81337;81173;80992;80764;80483;80284;80275;80426;80646;80983;81687;82349;82657;82906;83093;83161;83196;83794
 - Nichterwerbspersonen;1000;38869;39544;40033;39980;40134;40017;39792;39361;39040;38497;38741;38668;38627;38086;37626;37550;37313;36950;36746;36658;36547;36400;36337;36393;36842;37141;37017;36812;36680;36789;36794;37035
 = Erwerbspersonen;1000;41104;40956;40913;41167;41174;41449;41718;42085;42382;42960;42776;42910;42922;43370;43711;43623;43679;43814;43737;43626;43728;44026;44309;44590;44845;45208;45640;46094;46413;46372;46402;46759
 - Erwerbslose;1000;2172;2573;3050;3306;3205;3471;3764;3682;3366;3114;3059;3376;3810;4127;4506;4104;3473;3018;2878;2616;2228;2064;2024;1939;1808;1649;1509;1367;1280;1551;1536;1328
 = Erwerbstätige (Inländer);1000;38932;38383;37863;37861;37969;37978;37954;38403;39016;39846;39717;39534;39112;39243;39205;39519;40206;40796;40859;41010;41500;41962;42285;42651;43037;43559;44131;44727;45133;44821;44866;45431
 - Selbständige;1000;3563;3608;3669;3747;3797;3856;3915;3963;3991;4013;4027;4062;4134;4261;4381;4436;4469;4479;4492;4515;4527;4522;4495;4459;4405;4341;4273;4225;4160;4056;3958;3908
 = Arbeitnehmer (Inländer);1000;35369;34775;34194;34114;34172;34122;34039;34440;35025;35833;35690;35472;34978;34982;34824;35083;35737;36317;36367;36495;36973;37440;37790;38192;38632;39218;39858;40502;40973;40765;40908;41523
 + Pendlersaldo;1000;-61;-23;0;18;73;79;86;92;104;125;142;132;125;119;106;76;66;42;44;38;44;57;65;70;85;102;120;139;144;94;114;139
 = Arbeitnehmer (im Inland);1000;35308;34752;34194;34132;34245;34201;34125;34532;35129;35958;35832;35604;35103;35101;34930;35159;35803;36359;36411;36533;37017;37497;37855;38262;38717;39320;39978;40641;41117;40859;41022;41662
 + Selbständige;1000;3563;3608;3669;3747;3797;3856;3915;3963;3991;4013;4027;4062;4134;4261;4381;4436;4469;4479;4492;4515;4527;4522;4495;4459;4405;4341;4273;4225;4160;4056;3958;3908
 = Erwerbstätige (im Inland);1000;38871;38360;37863;37879;38042;38057;38040;38495;39120;39971;39859;39666;39237;39362;39311;39595;40272;40838;40903;41048;41544;42019;42350;42721;43122;43661;44251;44866;45277;44915;44980;45570
 nachrichtlich: Erwerbsquote;Prozent;51,4;50,9;50,5;50,7;50,6;50,9;51,2;51,7;52,1;52,7;52,5;52,6;52,6;53,2;53,7;53,7;53,9;54,2;54,3;54,3;54,5;54,7;54,9;55,1;54,9;54,9;55,2;55,6;55,9;55,8;55,8;55,8
                Erwerbslosenquote;Prozent;5,3;6,3;7,5;8,0;7,8;8,4;9,0;8,7;7,9;7,2;7,2;7,9;8,9;9,5;10,3;9,4;8,0;6,9;6,6;6,0;5,1;4,7;4,6;4,3;4,0;3,6;3,3;3,0;2,8;3,3;3,3;2,8
__________
"Erwerbslose:
Abgrenzung der Erwerbslosen nach den Definitionen der
Internationalen Arbeitsorganisation (ILO).

Selbständige:
Einschließlich mithelfende Familienangehörige."
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:20:37
