GENESIS-Tabelle: 81000-0007
VGR des Bundes - Arbeitnehmerentgelt, Löhne und Gehälter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Inländerkonzept): Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
   Arbeitnehmerentgelt (Inländer);Mrd. EUR;855,811;927,736;949,357;974,597;1009,430;1018,600;1022,430;1044,352;1074,372;1117,408;1135,047;1142,204;1145,918;1150,010;1148,956;1169,875;1204,436;1251,219;1258,027;1295,411;1352,194;1405,890;1446,609;1503,949;1564,814;1625,050;1696,317;1774,011;1856,155;1853,918;1918,027;2029,760
 - Sozialbeiträge der Arbeitgeber;Mrd. EUR;152,490;165,546;167,709;179,725;189,846;190,634;196,291;201,105;205,680;217,352;217,266;216,553;220,854;218,891;217,973;223,841;225,717;232,199;236,575;243,076;248,649;255,933;260,265;269,779;279,358;287,662;300,891;311,332;331,793;339,023;347,450;359,748
 = Bruttolöhne und -gehälter (Inländer);Mrd. EUR;703,321;762,190;781,648;794,872;819,584;827,966;826,139;843,247;868,692;900,056;917,781;925,651;925,064;931,119;930,983;946,034;978,719;1019,020;1021,452;1052,335;1103,545;1149,957;1186,344;1234,170;1285,456;1337,388;1395,426;1462,679;1524,362;1514,895;1570,577;1670,012
 - Abzüge der Arbeitnehmer;Mrd. EUR;210,546;236,029;240,411;253,439;273,995;275,504;281,242;286,101;292,110;294,960;293,723;297,203;302,692;294,569;294,306;305,066;318,893;335,646;335,444;334,878;357,102;373,822;386,991;403,686;422,165;441,097;462,897;486,581;502,382;494,903;507,957;541,191
         Sozialbeiträge der Arbeitnehmer;Mrd. EUR;97,745;107,343;111,341;118,821;123,857;128,181;133,215;135,097;137,270;139,520;141,575;143,839;148,317;148,639;151,084;156,990;161,223;167,914;172,812;177,967;188,811;195,115;199,524;207,073;214,942;225,827;237,105;248,028;252,220;250,422;262,303;279,227
         Lohnsteuer;Mrd. EUR;112,801;128,686;129,070;134,618;150,138;147,323;148,027;151,004;154,840;155,440;152,148;153,364;154,375;145,930;143,222;148,076;157,670;167,732;162,632;156,911;168,291;178,707;187,467;196,613;207,223;215,270;225,792;238,553;250,162;244,481;245,654;261,964
 = Nettolöhne u. -gehälter (Inländer);Mrd. EUR;492,775;526,161;541,237;541,433;545,589;552,462;544,897;557,146;576,582;605,096;624,058;628,448;622,372;636,550;636,677;640,968;659,826;683,374;686,008;717,457;746,443;776,135;799,353;830,484;863,291;896,291;932,529;976,098;1021,980;1019,992;1062,620;1128,821
nachrichtl.: Arbeitnehmerentgelt mtl. je Arbeitn.;EUR;2016;2223;2314;2381;2462;2488;2503;2527;2556;2599;2650;2683;2730;2740;2749;2779;2809;2871;2883;2958;3048;3129;3190;3282;3375;3453;3547;3650;3775;3790;3907;4074
             Bruttolöhne u. -geh. mtl. je Arbeitn.;EUR;1657;1826;1905;1942;1999;2022;2023;2040;2067;2093;2143;2175;2204;2218;2228;2247;2282;2338;2341;2403;2487;2560;2616;2693;2773;2842;2917;3009;3100;3097;3199;3352
             Nettolöhne u. -geh. mtl. je Arbeitn.;EUR;1161;1261;1319;1323;1330;1349;1334;1348;1372;1407;1457;1476;1483;1516;1524;1523;1539;1568;1572;1638;1682;1728;1763;1812;1862;1905;1950;2008;2079;2085;2165;2265
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:22:53
