GENESIS-Tabelle: 81000-0140
VGR des Bundes - Steuereinnahmen:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Steuereinnahmearten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
VGR-STE-1;Steuereinnahmen des Staates;351,541;385,130;396,321;415,703;424,833;427,019;430,056;450,582;482,505;498,897;476,828;473,049;478,785;478,093;490,160;527,286;574,461;593,460;561,992;563,844;606,194;632,102;650,936;673,014;705,094;739,189;773,285;808,065;834,268;783,138;887,557;957,488
VGR-STE-11;Steuereinnahmen von Kapitalgesellschaften;44,641;47,248;46,786;44,873;43,286;51,067;52,693;55,943;60,787;65,054;40,475;40,003;44,636;53,210;60,983;73,861;77,252;71,982;53,582;60,704;74,455;80,626;78,405;80,186;83,981;95,269;98,402;106,968;105,979;89,603;132,772;147,263
VGR-STE-111;Sonstige Produktionsabgaben;4,210;4,822;5,241;5,610;5,786;5,948;6,208;6,437;6,821;6,909;6,970;6,956;7,045;7,106;7,468;7,557;7,699;7,890;8,287;8,341;10,251;11,343;11,218;11,328;12,515;11,830;11,441;12,318;14,070;14,610;22,577;24,816
VGR-STE-1111;Nichtfinanzielle Kapitalgesellschaften;3,998;4,580;4,986;5,335;5,499;5,649;5,888;6,112;6,494;6,578;6,627;6,613;6,698;6,758;7,116;7,205;7,337;7,532;7,930;7,983;9,147;10,115;10,159;10,255;10,435;10,436;9,993;10,700;12,188;12,673;20,371;22,622
VGR-STE-1112;Kreditinstitute;0,188;0,218;0,228;0,225;0,235;0,237;0,242;0,252;0,198;0,236;0,212;0,213;0,220;0,237;0,254;0,248;0,233;0,147;0,196;0,225;0,948;1,111;0,948;1,008;1,998;1,273;1,335;1,470;1,765;1,835;2,079;2,065
VGR-STE-1113;Versicherungen;0,024;0,024;0,027;0,050;0,052;0,062;0,078;0,073;0,129;0,095;0,131;0,130;0,127;0,111;0,098;0,104;0,129;0,211;0,161;0,133;0,156;0,117;0,111;0,065;0,082;0,121;0,113;0,148;0,117;0,102;0,127;0,129
VGR-STE-112;Einkommen- und Vermögensteuern;40,431;42,426;41,545;39,263;37,500;45,119;46,485;49,506;53,966;58,145;33,505;33,047;37,591;46,104;53,515;66,304;69,553;64,092;45,295;52,363;64,204;69,283;67,187;68,858;71,466;83,439;86,961;94,650;91,909;74,993;110,195;122,447
VGR-STE-1121;Nichtfinanzielle Kapitalgesellschaften;30,644;32,000;29,730;27,178;24,172;30,174;31,967;28,753;39,727;48,055;27,491;26,894;28,471;37,675;40,107;58,637;59,314;59,184;37,718;43,984;58,089;59,351;57,851;60,731;62,503;73,284;77,919;85,286;82,189;64,460;98,605;109,368
VGR-STE-1122;Kreditinstitute;8,668;9,383;10,553;9,907;10,922;11,841;10,991;16,057;8,615;7,187;3,717;3,831;5,768;5,742;9,662;5,417;6,606;2,010;4,160;5,277;3,118;6,445;6,247;6,620;6,715;6,778;6,236;5,566;6,568;7,617;7,797;8,838
VGR-STE-1123;Versicherungen;1,119;1,043;1,262;2,178;2,406;3,104;3,527;4,696;5,624;2,903;2,297;2,322;3,352;2,687;3,746;2,250;3,633;2,898;3,417;3,102;2,997;3,487;3,089;1,507;2,248;3,377;2,806;3,798;3,152;2,916;3,793;4,241
